,FAM1,REL,JEN,MAR,RLI,DE2,DE3,DE7,DE8,DE9
497,1,0,1,1,0,2,1,1,3,3
498,1,0,1,2,0,0,1,1,3,1
499,1,0,1,1,1,2,1,1,4,3
500,1,0,2,1,1,2,0,1,3,4
501,1,0,1,1,0,1,0,1,3,3
502,1,0,1,2,0,0,1,1,3,1
503,1,0,2,1,0,1,0,1,3,4
504,1,0,1,1,0,1,1,1,2,1
505,1,0,2,2,1,0,0,1,3,4
506,1,0,2,1,2,1,1,1,2,1
507,1,0,2,2,2,0,0,1,3,4
508,1,0,1,1,2,1,1,1,3,1
509,1,0,2,1,2,0,0,1,3,3
510,1,0,1,1,2,0,0,1,3,3
511,1,0,2,1,2,0,1,1,3,1
512,1,0,2,1,0,1,1,1,3,3
513,1,0,1,1,0,1,0,1,3,3
514,1,0,1,1,2,1,1,1,2,1
515,1,0,2,1,2,1,0,1,3,1
516,1,0,1,2,2,0,1,1,3,4
517,1,0,2,2,2,0,0,1,2,4
518,1,0,2,4,2,1,0,1,3,1
519,1,0,1,1,0,1,1,1,3,1
520,1,0,1,2,0,0,0,1,3,4
521,1,0,2,1,2,2,0,1,3,4
522,1,0,1,1,2,2,0,1,3,3
523,1,0,2,3,1,2,0,1,3,4
524,1,0,1,2,1,0,1,1,3,1
525,1,0,1,1,0,1,1,1,3,1
526,0,0,2,2,2,0,1,1,3,3
527,1,0,1,1,2,1,1,1,2,3
528,1,0,2,1,2,1,0,1,2,3
529,1,0,1,2,2,0,0,1,2,4
530,1,0,1,1,0,1,1,1,3,1
531,1,0,2,1,0,1,1,1,3,4
532,1,0,2,2,0,0,1,1,3,4
533,1,0,2,1,2,1,0,1,2,4
534,1,0,2,2,2,0,1,1,2,4
535,1,0,1,1,2,1,0,1,2,3
536,1,0,2,1,2,1,0,1,2,1
537,1,0,1,2,2,0,0,1,2,4
538,1,0,1,1,2,0,1,1,3,1
539,1,0,1,1,1,0,1,1,3,1
540,1,0,1,2,0,0,1,1,2,4
541,1,0,1,2,0,0,1,1,2,4
542,1,0,1,1,0,1,1,1,2,1
543,1,0,2,1,0,1,1,1,3,1
544,1,0,1,1,0,0,1,1,3,1
545,1,0,2,1,0,0,1,1,3,1
546,1,0,1,2,2,0,1,1,3,1
547,1,0,2,1,0,1,1,1,2,1
548,1,0,2,2,2,0,0,1,2,4
549,1,0,2,1,0,1,1,1,2,4
550,1,0,2,2,0,0,1,1,3,4
551,0,0,2,2,0,0,1,1,3,1
552,1,0,1,1,2,0,1,1,3,1
553,1,0,2,1,2,0,1,1,3,1
554,1,0,2,3,2,0,1,1,2,1
555,0,0,1,2,0,1,1,1,3,1
556,1,0,1,4,2,1,1,1,3,1
557,1,0,2,3,0,1,1,1,4,3
558,0,0,2,2,2,0,1,1,3,1
559,1,0,1,1,2,0,1,1,3,3
560,1,0,1,1,0,2,0,1,3,3
561,1,0,2,1,0,2,0,1,3,4
562,1,0,2,2,2,0,1,1,3,1
563,1,1,2,4,2,2,0,1,3,4
564,1,0,1,1,2,0,1,1,3,1
565,1,0,2,1,2,0,1,1,3,1
566,1,0,2,2,0,0,1,1,3,1
567,0,0,2,4,0,2,1,1,3,3
568,1,0,1,1,2,1,1,1,3,1
569,1,0,2,1,2,1,1,1,3,4
570,1,0,1,1,2,0,1,1,1,1
