,Q26,Q27,Q28,Q30A1,Q30A4,Q30A5,Q31A1,Q32A1,Q32A3,Q32A4,Q32A5,Q32A6,Q33A1,Q33A3,Q33A4,Q33A7,Q33A8
89,0.4850026896104595,3.5,1.5,4.5,1.5,4.5,3.0,1.5,1.5,1.5,3.0,1.5,4.5,1.5,1.5,0.0,4.5
90,-0.7781937168921504,3.5,4.5,4.5,3.0,4.5,2.0,1.5,3.0,1.5,3.0,1.5,4.5,0.0,4.5,1.5,0.0
91,-0.7781937168921504,3.5,3.0,4.5,4.5,4.5,1.0,3.0,1.5,4.5,1.5,1.5,0.0,0.0,1.5,1.5,4.5
92,-0.7781937168921504,3.5,4.5,4.5,3.0,3.0,1.0,1.5,1.5,1.5,1.5,3.0,1.5,0.0,0.0,1.5,4.5
93,0.4850026896104595,3.5,4.5,4.5,3.0,3.0,2.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1.5,0.0,1.5
94,0.4850026896104595,3.5,4.5,4.5,3.0,4.5,2.0,1.5,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1.5,0.0
95,-0.7781937168921504,3.5,4.5,4.5,4.5,4.5,1.0,4.5,1.5,4.5,3.0,3.0,4.5,4.5,0.0,4.5,4.5
96,0.4850026896104595,3.5,3.0,4.5,3.0,3.0,2.0,3.0,1.5,3.0,1.5,4.5,0.0,1.5,1.5,0.0,1.5
97,-0.7781937168921504,3.5,3.0,4.5,4.5,4.5,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,0.0
98,-0.7781937168921504,5.5,3.0,4.5,4.5,4.5,2.0,3.0,3.0,4.5,3.0,3.0,4.5,4.5,1.5,1.5,0.0
99,-0.7781937168921504,3.5,4.5,4.5,1.5,3.0,2.0,1.5,3.0,3.0,3.0,1.5,1.5,1.5,0.0,0.0,1.5
100,-0.7781937168921504,5.5,1.5,4.5,3.0,3.0,2.0,3.0,1.5,1.5,1.5,3.0,0.0,0.0,1.5,4.5,0.0
101,0.4850026896104595,3.5,1.5,4.5,1.5,1.5,1.0,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,1.5,1.5
102,-0.7781937168921504,3.5,3.0,4.5,1.5,3.0,1.0,4.5,1.5,4.5,1.5,1.5,1.5,0.0,0.0,4.5,4.5
103,-0.7781937168921504,3.5,3.0,4.5,3.0,3.0,1.0,3.0,1.5,4.5,1.5,1.5,0.0,0.0,4.5,1.5,1.5
104,-0.7781937168921504,3.5,3.0,4.5,3.0,3.0,1.0,1.5,1.5,4.5,1.5,1.5,1.5,4.5,0.0,1.5,0.0
105,0.4850026896104595,3.5,4.5,4.5,4.5,3.0,2.0,1.5,1.5,1.5,1.5,3.0,1.5,1.5,4.5,1.5,0.0
106,-0.7781937168921504,3.5,1.5,4.5,1.5,3.0,1.0,3.0,1.5,4.5,1.5,4.5,1.5,0.0,1.5,0.0,4.5
107,-0.7781937168921504,3.5,4.5,4.5,4.5,4.5,1.0,1.5,1.5,3.0,1.5,1.5,1.5,1.5,0.0,4.5,1.5
108,-0.7781937168921504,3.5,1.5,4.5,4.5,1.5,1.0,3.0,1.5,3.0,3.0,3.0,0.0,0.0,1.5,1.5,4.5
109,-0.7781937168921504,3.5,3.0,4.5,4.5,4.5,1.0,1.5,3.0,1.5,1.5,3.0,1.5,1.5,0.0,1.5,0.0
110,-0.7781937168921504,5.5,1.5,4.5,4.5,4.5,1.0,1.5,1.5,1.5,1.5,4.5,1.5,0.0,0.0,1.5,0.0
111,-0.7781937168921504,3.5,3.0,4.5,3.0,3.0,1.0,1.5,3.0,3.0,1.5,1.5,0.0,1.5,1.5,1.5,0.0
112,-0.7781937168921504,3.5,1.5,4.5,3.0,4.5,1.0,1.5,1.5,1.5,1.5,3.0,0.0,1.5,1.5,1.5,0.0
113,-0.7781937168921504,5.5,1.5,4.5,3.0,1.5,2.0,3.0,1.5,3.0,1.5,1.5,1.5,1.5,1.5,1.5,0.0
