,Q43,Q44,Q44A,Q45A1,Q45A3,Q47,Q47B,Q47C,Q48,Q49
444,1,3,0,3,1,3,1,2,0,0
445,0,2,3,3,3,1,1,1,1,2
446,1,3,0,2,2,2,1,3,0,0
447,2,2,2,2,2,2,1,3,2,1
448,2,2,2,3,2,2,1,3,2,2
449,2,2,2,3,2,2,1,3,2,2
450,1,3,0,3,3,0,0,0,1,0
451,2,3,0,3,2,1,1,2,1,1
452,0,3,0,3,2,1,1,2,1,1
453,0,2,2,3,2,1,1,1,1,1
454,0,3,0,3,2,1,1,2,1,1
455,0,3,0,3,2,0,0,0,1,1
456,2,3,0,3,2,1,1,2,2,0
457,2,3,0,3,3,1,1,1,1,1
458,0,1,3,3,2,1,1,2,1,1
459,0,3,0,3,2,1,1,1,1,1
460,2,2,2,3,3,2,1,3,1,2
461,0,3,0,3,2,0,0,0,0,0
462,0,3,0,3,2,2,1,2,1,1
463,2,2,3,3,2,2,1,3,1,1
464,2,3,0,3,2,0,0,0,1,0
465,0,3,0,3,0,1,1,3,0,1
466,2,3,0,3,2,2,1,3,0,2
467,2,3,0,3,0,1,1,3,1,1
468,0,3,0,3,1,0,0,0,2,1
469,0,3,0,3,3,2,1,3,2,2
470,1,2,2,3,2,0,0,0,1,0
471,2,3,0,3,2,2,1,2,2,1
472,0,2,1,3,1,0,0,0,2,2
473,2,3,0,3,3,2,1,3,1,1
474,0,3,0,3,2,0,0,0,1,2
475,0,3,0,3,2,2,1,3,2,0
476,0,3,0,2,0,0,0,0,0,0
477,0,3,0,3,0,1,1,3,2,2
478,2,3,0,3,0,0,0,0,2,0
479,1,3,0,3,1,2,1,3,0,1
480,2,1,3,3,0,0,0,0,1,1
481,1,3,0,3,3,2,1,3,2,2
482,0,3,0,3,0,0,0,0,0,0
483,2,3,0,3,2,1,1,3,1,2
484,0,3,0,3,0,0,0,0,1,0
485,0,3,0,2,1,0,0,0,0,1
486,0,3,0,3,3,2,1,3,1,2
487,0,3,0,3,1,0,0,0,1,0
488,2,1,2,3,0,0,0,0,0,0
489,2,3,0,3,2,1,1,3,0,1
490,2,3,0,2,1,0,0,0,0,1
491,0,3,0,3,3,1,1,3,0,0
492,0,3,0,3,3,0,0,0,2,0
493,0,1,3,3,0,0,0,0,0,2
494,0,3,0,2,1,0,0,0,2,0
495,0,3,0,3,0,2,1,3,1,2
496,2,3,0,3,0,0,0,0,1,0
497,1,3,0,3,0,2,1,2,0,0
498,0,3,0,2,1,2,1,2,2,2
499,0,3,0,3,2,1,1,3,1,1
500,0,3,0,3,3,0,0,0,1,1
501,0,1,3,3,2,1,1,2,2,2
502,0,2,2,3,3,2,1,3,2,1
503,2,3,0,3,2,1,1,2,1,0
504,0,3,0,3,2,1,1,2,1,1
505,0,2,2,3,3,0,0,0,0,2
506,2,3,0,3,1,2,1,2,1,1
507,2,3,0,3,3,0,0,0,1,1
508,2,3,0,3,2,2,1,2,1,2
509,2,3,0,3,3,2,1,3,1,0
510,1,3,0,2,2,2,1,2,0,0
511,0,2,3,3,2,1,1,3,0,0
512,1,1,3,3,3,2,1,3,0,0
513,0,1,3,3,3,3,2,3,0,0
514,0,3,0,3,2,2,1,3,0,1
515,0,3,0,3,2,2,1,2,0,1
516,2,3,0,3,2,0,0,0,0,1
517,2,3,0,3,2,0,0,0,0,1
518,0,3,0,3,3,2,1,2,0,0
519,2,3,0,3,2,2,1,2,1,1
520,2,3,0,3,3,0,0,0,1,1
521,1,3,0,3,2,0,0,0,1,1
522,0,3,0,3,3,1,1,2,1,1
523,0,3,0,2,2,0,0,0,1,1
524,0,3,0,3,3,2,1,3,0,1
525,2,3,0,3,3,2,1,3,1,2
526,1,3,0,3,3,3,1,1,0,0
527,2,3,0,3,3,2,1,3,1,0
528,0,3,0,2,3,3,1,3,1,2
529,0,1,2,3,3,0,0,0,1,2
530,2,3,0,3,3,1,1,3,1,2
531,2,3,0,3,2,0,0,0,1,2
532,2,3,0,3,3,0,0,0,1,2
533,2,2,3,3,2,0,0,0,1,2
534,2,3,0,3,2,0,0,0,1,1
535,2,3,0,3,2,2,1,3,1,2
536,2,3,0,3,2,2,1,2,1,2
537,1,2,2,3,2,0,0,0,2,2
538,2,3,0,3,2,2,1,2,1,2
539,2,3,0,3,2,2,1,2,2,2
540,1,3,0,1,2,0,0,0,1,0
541,2,3,0,3,2,0,0,0,0,2
542,2,3,0,3,2,2,1,3,1,1
543,2,3,0,3,2,2,1,1,2,2
544,2,2,2,3,1,2,1,1,2,2
545,2,3,0,2,1,2,1,3,2,2
546,2,2,3,3,3,2,1,3,1,1
547,2,2,3,3,3,2,1,3,1,2
548,2,2,3,3,2,0,0,0,1,2
549,0,3,0,3,2,0,0,0,1,1
550,2,3,0,3,2,0,0,0,2,2
551,2,3,0,3,3,2,1,1,1,1
552,1,3,0,3,2,2,1,3,2,2
553,2,3,0,2,1,2,1,3,2,2
554,0,3,0,3,3,2,1,2,2,1
555,2,2,3,3,3,2,1,2,2,2
556,2,2,2,3,3,2,1,3,2,2
557,2,3,0,3,2,2,1,3,1,2
558,1,3,0,3,3,2,1,3,1,1
559,2,3,0,3,2,1,1,3,2,1
560,0,3,0,3,2,2,1,2,2,2
561,2,3,0,3,1,0,0,0,2,2
562,0,3,0,3,2,2,1,3,1,1
563,0,3,0,3,2,0,0,0,2,1
564,2,3,0,2,1,2,1,2,1,1
565,2,3,0,2,1,2,1,2,1,2
566,2,3,0,3,3,2,1,3,2,2
567,1,3,0,2,1,1,1,3,2,1
568,0,3,0,3,2,2,1,2,2,2
569,2,3,0,3,2,0,0,0,2,2
570,2,3,0,3,2,1,1,2,2,1
571,1,3,0,3,2,2,1,2,2,2
572,2,3,0,3,3,2,1,3,2,2
573,0,3,0,2,2,2,1,3,1,2
574,0,2,3,3,2,2,1,3,1,2
575,1,3,0,2,2,2,1,2,1,2
576,1,3,0,3,3,2,1,3,2,2
577,0,3,0,2,2,0,0,0,2,1
578,0,2,2,3,2,2,1,3,2,2
579,1,2,3,3,3,2,1,3,1,2
580,2,3,0,2,2,2,1,3,2,1
581,2,3,0,3,2,2,1,2,2,2
582,2,3,0,3,2,2,1,2,2,2
583,0,3,0,3,3,0,0,0,2,0
584,0,3,0,3,2,2,1,2,0,2
585,2,2,2,2,1,2,1,3,2,2
586,2,3,0,3,2,2,1,2,2,2
587,1,3,0,2,2,0,0,0,2,2
588,2,3,0,3,2,2,1,3,0,1
589,0,3,0,3,3,2,1,3,1,1
590,2,3,0,3,1,2,1,2,2,1
591,0,3,0,3,3,3,1,3,1,2
592,2,3,0,3,2,1,1,3,2,2
593,0,2,3,3,2,2,1,2,1,1
594,2,3,0,3,1,2,1,1,1,2
595,2,2,2,2,1,2,1,3,1,2
596,2,3,0,3,2,0,0,0,1,2
597,2,2,3,3,1,1,1,3,2,2
598,0,2,3,3,1,0,0,0,2,1
599,2,2,3,3,2,2,1,1,1,2
600,2,3,0,3,1,2,1,3,0,2
601,2,3,0,3,2,2,1,2,1,2
602,1,3,0,2,1,2,1,2,1,1
603,0,3,0,2,2,2,1,3,2,2
604,2,1,3,3,2,2,1,3,2,2
605,0,3,0,3,3,2,1,2,2,1
606,0,1,2,2,3,2,1,2,0,2
607,2,3,0,3,3,2,1,3,2,1
608,2,3,0,3,3,0,0,0,2,1
609,2,3,0,3,3,2,1,2,0,2
610,0,3,0,3,0,0,0,0,2,0
