,FAM1,REL,JEN,MAR,RLI,DE2,DE3,DE7,DE8,DE9
458,1,0,2,1,2,1,1,1,3,4
459,1,0,1,1,0,0,1,1,3,1
460,1,0,2,1,1,1,1,1,3,4
461,1,0,2,1,0,1,1,1,3,4
462,0,0,2,3,0,2,1,1,4,3
463,1,0,1,1,0,1,0,1,3,3
464,1,0,2,1,0,1,1,1,3,4
465,1,0,2,3,0,1,1,1,4,3
466,1,0,2,2,0,0,1,1,3,4
467,1,0,2,2,0,0,1,1,3,3
468,1,0,1,1,0,1,0,1,3,3
469,1,0,1,1,2,2,0,1,3,3
470,1,0,2,1,2,2,1,1,3,4
471,1,0,2,1,1,2,1,1,4,4
472,1,0,1,1,2,0,0,1,2,1
473,1,0,2,2,0,0,0,1,4,4
474,1,0,2,1,0,1,1,1,4,1
475,1,0,2,1,0,2,1,1,3,4
476,1,0,1,1,0,0,1,1,4,1
477,1,0,1,1,0,2,1,1,3,3
478,1,0,2,1,0,2,1,1,4,4
479,1,0,2,1,0,0,1,1,3,4
480,1,0,1,1,0,1,1,1,2,1
481,1,0,1,1,0,1,1,1,4,3
482,1,0,1,1,0,1,1,1,3,3
483,1,0,2,2,0,0,0,1,3,4
484,1,0,2,1,2,0,1,1,3,1
485,1,0,1,1,2,0,1,1,3,1
486,1,0,2,1,0,1,1,1,3,1
487,1,0,2,1,0,1,1,1,2,3
488,1,0,1,1,0,1,1,1,4,1
489,1,0,1,1,0,1,1,1,2,3
490,1,0,2,2,2,0,1,1,2,4
491,0,0,2,2,2,0,1,1,2,1
492,1,0,2,1,0,0,1,1,2,4
493,1,0,1,1,2,0,1,1,2,1
494,1,0,2,1,2,0,1,1,3,1
495,1,0,1,1,2,1,0,1,3,1
496,1,0,2,1,2,1,1,1,3,3
497,1,0,1,1,0,1,1,1,4,1
498,1,0,1,1,2,0,1,1,2,1
499,1,0,1,2,2,0,0,1,2,4
500,1,0,1,1,2,1,1,1,3,1
501,1,0,1,2,2,0,0,1,2,4
502,1,0,2,1,0,1,1,1,3,3
503,1,0,1,2,1,0,1,1,3,4
504,1,0,1,1,2,1,1,1,3,1
505,1,0,2,2,2,0,1,1,2,1
506,1,0,1,1,2,0,1,1,3,1
507,1,0,2,1,1,1,1,1,3,4
508,1,0,1,1,1,1,1,1,2,1
509,1,0,1,1,2,1,1,1,2,1
510,1,0,2,1,2,0,1,1,2,3
511,1,0,2,2,2,0,1,1,4,4
512,1,0,1,1,2,1,1,1,3,3
513,1,0,2,1,2,1,1,1,3,1
514,1,0,1,2,2,0,0,1,4,4
515,1,0,2,1,2,1,1,1,3,4
516,1,0,2,1,2,1,0,1,3,4
517,1,0,1,2,2,0,0,1,4,3
518,1,0,1,1,2,1,0,1,2,3
519,1,0,2,2,0,0,1,1,4,4
520,1,0,2,1,2,0,1,1,3,4
521,0,0,2,2,0,1,1,1,3,1
522,1,0,1,1,2,1,1,1,4,1
523,1,0,2,2,2,0,1,1,3,4
524,1,0,2,2,2,0,0,1,2,4
525,1,0,1,2,2,0,1,1,4,1
526,1,0,1,1,2,1,1,1,3,3
527,1,0,1,1,2,1,1,1,3,3
528,1,0,1,2,2,1,0,1,4,3
529,1,0,2,2,2,0,0,1,3,4
530,1,0,2,1,0,1,1,1,4,4
531,1,0,2,2,0,0,0,1,4,4
532,1,0,2,3,0,0,0,1,4,3
533,1,0,1,1,0,0,1,1,4,1
534,1,0,1,2,2,0,0,1,4,4
535,1,0,2,1,0,0,1,1,4,1
536,1,0,1,1,0,1,1,1,2,3
537,1,0,2,1,2,0,0,1,4,4
538,1,0,1,1,2,2,0,1,2,4
539,1,0,2,1,0,1,1,1,3,3
540,1,0,2,1,2,1,1,1,3,3
541,1,0,1,1,2,1,1,1,3,1
542,1,0,1,2,0,0,1,1,3,4
543,1,0,1,1,0,1,1,1,3,1
544,1,0,2,1,0,1,0,1,3,4
545,1,0,1,1,2,2,1,1,3,1
546,1,0,1,1,0,1,1,1,3,1
547,1,0,2,1,0,1,1,1,3,4
548,1,0,2,1,0,0,1,1,3,1
549,1,0,2,1,0,2,1,1,2,4
550,1,0,2,1,2,0,1,1,2,4
551,1,0,1,1,1,2,0,1,2,3
552,1,0,2,3,2,2,0,1,5,4
553,1,0,1,2,2,0,1,1,3,1
554,1,0,1,1,0,2,1,1,3,3
555,1,0,2,1,0,1,1,1,3,4
556,1,0,2,2,2,0,0,1,3,4
557,1,0,2,1,0,0,1,1,3,4
558,1,0,1,1,0,1,1,1,2,3
559,1,0,1,1,0,1,1,1,3,1
560,1,0,1,1,2,1,1,1,2,3
561,1,0,2,1,2,1,1,1,2,4
562,0,0,2,3,2,1,0,1,3,3
563,1,0,1,2,2,0,1,1,2,1
564,1,0,1,2,2,0,0,1,2,4
565,0,0,1,3,2,2,0,1,4,4
566,1,0,2,1,0,1,0,1,2,3
567,1,0,2,4,2,1,0,1,4,3
568,0,0,2,2,0,0,1,1,3,1
569,1,0,1,1,0,2,1,1,3,3
570,1,0,2,1,0,2,0,1,3,4
571,1,0,1,1,0,1,1,1,2,1
572,1,0,2,1,0,1,1,1,2,4
573,1,0,2,1,0,1,0,1,2,4
574,1,0,2,1,1,1,1,1,3,4
575,1,0,1,1,2,2,1,1,3,1
576,0,0,1,4,2,2,1,1,3,3
577,1,0,1,1,2,1,0,1,2,3
578,1,0,2,1,2,1,1,1,2,4
579,1,0,1,4,2,2,0,1,2,4
580,1,0,2,1,1,1,1,1,1,4
581,1,0,1,1,2,1,1,1,2,1
582,1,0,1,2,0,0,1,1,2,4
583,1,0,1,1,0,1,1,1,2,3
584,1,0,1,2,2,0,1,1,2,3
585,1,0,2,2,0,0,1,1,2,1
586,1,0,2,2,0,0,1,1,3,4
587,1,0,1,1,0,1,1,1,2,1
588,1,0,1,1,2,1,1,1,2,1
589,1,0,1,2,2,0,0,1,2,4
590,1,0,1,1,2,0,1,1,2,1
591,1,0,2,1,2,0,1,1,2,1
592,1,0,2,2,2,0,1,1,3,3
593,1,0,2,1,2,0,1,1,2,1
594,1,1,2,1,0,2,0,1,2,4
595,1,1,1,1,0,2,0,1,2,1
596,1,0,1,2,2,0,0,1,2,4
597,1,0,2,1,2,0,1,1,3,4
598,1,0,2,1,2,1,0,1,2,3
599,1,0,2,2,0,0,1,1,5,3
600,1,0,2,1,2,0,1,1,4,1
601,1,0,2,1,0,1,0,1,3,3
602,1,0,2,1,2,0,1,1,4,1
603,1,0,1,1,2,1,1,1,3,3
604,0,0,2,4,2,2,0,1,5,4
605,1,0,2,1,2,1,0,1,2,4
606,1,0,1,1,2,1,1,1,3,1
607,1,0,2,2,0,0,1,1,3,4
608,1,0,2,1,0,1,0,1,4,4
609,1,0,2,1,0,2,0,1,5,4
610,0,0,2,4,0,2,0,1,5,4
611,0,0,2,4,2,2,0,1,5,4
612,1,0,2,1,2,0,1,1,3,1
613,1,0,2,1,2,1,0,1,4,4
614,1,0,1,1,2,0,1,1,3,1
615,0,0,2,4,2,2,0,1,5,4
616,1,0,1,1,2,1,1,1,3,1
617,1,0,1,1,0,1,1,1,2,1
618,1,0,2,1,0,0,1,1,2,4
619,1,0,1,1,2,1,1,1,3,1
620,1,0,2,1,0,1,0,1,2,4
621,1,0,2,1,1,2,0,1,3,4
622,1,0,2,1,2,0,1,1,3,4
623,1,0,2,2,2,0,0,1,2,4
624,1,0,1,1,2,1,0,1,4,1
625,1,0,2,2,2,0,1,1,2,1
626,1,0,2,2,2,0,1,1,2,4
627,1,0,2,1,2,1,0,1,4,3
