,Q1,Q2B,Q3,Q6A3,Q6A6,Q6A8,Q6A9,Q6A11,Q8,Q9,Q11,Q12B1,Q12E1,Q12F1,Q13,Q15,Q17A1,Q18,Q20,Q21A,Q24B,Q28,Q32A4,Q34,Q37,Q40,Q41,Q42A,Q43,Q44A,Q45A3,Q47,Q47C,Q48,Q49,FAM1,MAR,DE2,DE3,DE7,DE8,DE9
65,1,2,1,4,2,4,3,3,2,2,3,0,1,1,2,2,0,1,1,0,0,4.5,1.5,60,1,2,2,1,1,0,2,3,2,1,0,1,4,1,0,1,3,3
66,1,4,1,3,2,3,2,2,3,2,4,0,0,1,3,2,1,1,0,0,1,4.5,4.5,90,1,2,3,1,0,0,1,2,3,0,0,1,2,0,1,1,3,1
67,1,2,1,4,3,2,3,4,2,2,4,0,0,1,4,2,0,1,0,1,1,3.0,3.0,70,1,2,3,2,0,0,1,2,2,1,0,1,2,0,1,1,3,1
68,0,3,0,3,3,4,4,2,2,2,3,0,0,1,3,3,1,1,0,0,1,1.5,4.5,50,1,1,1,2,0,0,3,2,1,0,2,1,1,0,0,1,4,3
69,0,6,0,3,4,2,4,2,2,4,3,1,1,1,4,4,1,1,1,0,5,3.0,1.5,90,1,2,2,4,0,0,1,0,0,1,1,1,1,2,0,1,3,4
70,0,4,0,4,3,4,4,2,2,3,3,0,0,1,4,2,0,1,0,1,0,3.0,3.0,60,1,1,2,2,0,0,3,2,1,2,1,1,1,0,0,1,1,1
71,0,4,1,4,3,3,4,3,3,2,4,0,0,1,3,3,0,1,0,0,0,3.0,3.0,75,1,2,2,2,0,0,0,1,3,0,2,1,1,0,0,1,2,3
72,0,6,0,2,3,3,4,4,2,2,2,0,0,0,3,2,0,0,1,0,4,1.5,1.5,75,1,2,2,1,1,0,0,1,1,1,1,1,4,1,1,1,4,3
73,0,4,1,2,3,4,3,3,2,3,2,0,1,0,4,2,1,0,0,0,0,3.0,3.0,85,1,2,2,3,0,0,0,2,2,0,2,1,2,0,1,1,3,1
74,0,6,2,3,4,4,3,2,3,2,4,0,0,0,2,2,0,1,0,0,4,3.0,1.5,90,1,2,2,1,0,0,1,1,3,0,1,1,1,1,0,1,4,3
75,1,6,2,3,2,3,4,2,3,2,4,0,0,1,3,2,1,1,1,0,1,3.0,1.5,80,0,2,3,1,0,0,2,1,3,2,2,0,2,0,1,1,4,3
76,0,6,0,4,3,3,4,4,2,3,2,0,0,1,4,3,1,1,1,0,1,3.0,3.0,70,1,1,1,1,0,0,2,2,2,0,2,1,1,0,0,1,3,3
77,0,6,2,4,4,4,4,2,3,2,2,0,0,1,3,2,1,1,0,0,1,3.0,1.5,75,1,2,2,1,2,0,2,1,3,0,2,1,1,0,1,1,4,3
78,0,4,0,4,4,4,4,4,3,2,2,0,0,1,3,3,1,0,1,0,0,3.0,4.5,60,1,1,1,1,1,0,1,1,2,2,1,0,2,0,0,1,2,3
79,1,3,1,3,3,4,4,3,2,2,4,0,0,1,2,3,1,1,0,0,0,1.5,3.0,60,0,2,2,1,0,0,2,2,2,1,0,1,2,0,1,1,3,3
80,1,4,1,2,4,3,3,2,3,2,4,1,1,1,4,4,1,1,0,0,0,4.5,4.5,90,0,2,3,3,0,0,3,2,3,0,2,1,2,0,1,1,2,1
81,0,6,0,4,4,2,2,3,3,2,2,1,1,0,3,2,0,1,1,0,2,1.5,3.0,60,1,2,2,4,1,0,0,0,0,0,0,1,1,2,0,1,4,4
82,1,2,0,2,4,4,2,2,3,2,3,0,1,1,4,3,1,1,0,1,0,4.5,1.5,60,0,2,3,2,0,0,2,2,2,0,1,1,2,0,1,1,2,1
83,1,6,0,3,3,4,4,3,3,2,3,0,1,1,4,3,1,1,1,0,0,4.5,3.0,75,2,1,3,4,1,0,1,0,0,0,2,1,2,0,1,1,3,4
84,1,4,2,4,3,4,4,3,3,2,3,0,0,1,3,3,1,1,0,1,5,3.0,1.5,80,2,2,3,2,2,2,3,2,2,0,1,1,1,1,1,1,3,1
85,0,6,1,4,3,3,3,3,3,2,3,0,0,1,3,3,0,1,0,0,2,3.0,1.5,75,1,1,2,4,2,0,2,0,0,2,1,1,1,0,0,1,3,4
86,0,3,2,4,4,4,4,4,2,2,3,0,1,0,3,3,0,1,1,0,1,3.0,1.5,85,0,2,3,2,2,0,3,2,2,1,0,1,1,1,1,1,2,1
87,0,4,0,4,4,3,4,4,3,2,3,0,0,1,3,3,0,1,0,0,1,4.5,1.5,80,1,2,2,4,2,0,3,0,0,0,2,1,1,0,1,1,3,4
88,1,4,2,4,4,4,3,3,3,2,3,0,0,1,3,3,1,1,0,1,5,3.0,3.0,90,0,2,3,2,2,0,3,2,2,0,2,1,2,0,1,1,3,1
89,0,4,2,4,4,3,4,4,3,2,3,0,1,1,3,3,1,1,0,0,0,4.5,1.5,85,0,2,1,2,2,0,3,1,3,0,2,1,1,2,1,1,1,1
90,0,3,1,4,3,4,4,4,2,3,3,0,1,1,4,3,0,1,0,0,2,3.0,3.0,88,1,2,1,4,2,0,3,0,0,0,2,1,1,1,1,1,2,4
91,1,6,2,4,4,3,3,3,2,2,3,0,0,1,3,3,0,1,0,0,0,4.5,1.5,50,0,2,2,2,2,0,3,1,3,1,2,1,1,1,1,1,2,3
92,1,6,2,4,4,4,4,4,2,2,2,0,0,1,3,3,0,1,0,1,1,4.5,1.5,85,2,2,3,3,2,0,3,2,2,0,2,1,1,0,1,1,3,1
93,0,4,2,3,4,3,3,3,3,2,3,1,0,0,3,3,0,1,0,0,1,3.0,3.0,90,1,2,3,3,2,2,3,1,2,0,2,1,1,0,1,1,3,3
94,1,4,1,4,4,4,4,2,3,2,3,1,0,1,3,3,1,1,0,0,0,3.0,3.0,90,1,2,3,1,2,0,3,3,2,0,2,1,1,0,1,1,3,3
95,1,4,2,2,3,4,4,3,2,2,3,0,0,0,3,3,1,1,1,0,3,3.0,1.5,80,2,1,3,3,2,3,3,2,2,0,1,1,1,1,1,1,2,1
96,0,4,2,3,3,3,3,3,2,2,3,0,0,1,3,3,0,1,0,0,3,4.5,3.0,80,0,2,2,4,2,0,3,0,0,0,2,1,1,1,1,1,2,4
97,1,6,1,3,4,3,3,3,3,2,3,1,0,1,3,2,1,1,0,1,0,3.0,1.5,88,1,2,2,2,2,0,3,3,1,0,1,1,1,1,0,1,3,3
98,0,6,1,3,3,3,3,3,3,2,3,1,0,1,2,3,0,1,0,1,1,3.0,3.0,85,1,2,2,3,2,0,3,2,2,0,1,1,1,0,1,1,3,3
99,1,4,2,2,3,4,4,3,4,2,3,1,0,1,3,3,1,1,1,0,1,3.0,1.5,85,2,2,3,3,0,2,3,2,2,0,2,1,1,0,1,1,2,1
100,1,4,1,3,3,4,3,3,3,2,3,1,0,1,3,3,0,1,0,0,0,3.0,3.0,85,1,2,2,4,2,0,3,3,2,0,2,1,1,0,1,1,3,3
101,0,6,2,4,4,4,4,4,3,2,2,0,0,1,3,3,0,1,0,1,1,4.5,1.5,50,0,2,3,3,0,0,1,2,2,0,2,1,1,1,1,1,3,1
102,1,4,2,4,3,3,4,4,3,2,4,0,0,1,3,3,1,1,1,1,0,3.0,3.0,80,2,2,3,2,2,3,3,2,2,2,1,1,1,0,1,1,3,1
103,1,4,2,4,4,3,3,3,2,2,2,0,0,1,3,3,1,1,0,1,0,4.5,1.5,80,0,2,2,3,2,3,3,2,1,0,2,1,1,1,1,1,3,3
104,1,6,0,2,4,3,3,3,3,3,3,0,0,0,4,3,1,0,0,1,5,3.0,3.0,80,2,2,3,3,2,0,3,2,2,2,2,1,3,1,0,1,2,1
105,0,6,2,3,4,3,4,3,4,3,3,0,0,0,4,3,1,1,1,1,3,4.5,4.5,80,2,2,3,1,2,0,3,1,3,0,2,1,1,1,0,1,2,3
106,0,6,2,3,4,2,3,3,2,2,3,0,1,0,3,3,1,1,1,1,0,4.5,4.5,80,0,1,3,2,2,3,3,1,3,0,2,1,1,1,1,1,2,3
107,0,6,0,3,4,3,4,4,4,2,3,0,0,0,4,4,0,0,1,0,0,4.5,1.5,80,0,2,2,1,2,3,3,1,3,0,0,1,1,1,0,1,3,3
108,0,6,2,3,3,3,2,4,2,2,3,0,0,0,4,3,1,1,0,0,0,3.0,1.5,70,0,1,3,3,2,0,3,1,3,0,2,1,1,1,1,1,3,1
109,0,6,0,2,4,2,2,2,4,3,3,0,0,0,3,3,0,1,0,0,0,3.0,3.0,80,2,2,2,4,2,0,2,0,0,0,2,1,1,2,0,1,3,4
110,1,3,1,3,2,3,3,3,2,3,2,0,1,0,3,3,0,1,0,1,0,3.0,3.0,80,2,2,3,4,2,0,3,0,0,1,2,1,1,0,0,1,3,4
111,1,4,0,4,3,3,2,4,4,3,3,0,0,0,4,3,0,1,0,1,0,4.5,4.5,60,2,2,3,4,1,0,3,0,0,1,1,1,1,0,0,1,2,4
112,1,6,1,3,3,3,3,3,2,2,3,0,0,0,4,3,1,1,0,1,0,4.5,3.0,45,2,1,3,1,1,0,3,2,3,0,0,1,1,0,1,1,3,3
113,0,4,2,3,2,3,3,2,2,3,3,0,0,0,4,4,1,1,1,1,1,3.0,1.5,70,2,1,2,3,2,0,2,2,2,2,2,1,1,1,1,1,2,1
114,1,6,2,4,3,3,3,3,2,2,3,0,0,0,4,2,0,1,0,0,0,4.5,4.5,70,2,1,3,2,0,0,2,2,2,0,0,1,1,1,0,1,3,3
115,1,6,0,3,3,3,2,3,4,2,4,0,0,0,4,3,0,0,0,1,0,3.0,3.0,80,2,2,3,3,2,0,2,2,2,1,2,1,1,1,0,1,3,1
116,0,6,0,3,3,2,3,3,3,3,3,0,0,0,3,3,0,1,0,0,2,3.0,1.5,70,2,2,1,4,2,0,3,0,0,1,2,1,1,2,0,1,3,4
117,1,6,2,3,2,4,3,3,2,3,4,0,0,0,4,3,1,1,0,0,0,3.0,3.0,65,2,2,3,3,0,0,2,1,2,1,2,1,1,0,0,1,3,3
118,1,6,0,3,2,2,2,2,4,3,4,0,0,0,3,3,0,0,0,0,1,3.0,3.0,89,2,1,2,4,2,0,2,0,0,1,1,1,1,2,0,1,3,4
119,1,6,0,2,4,3,3,3,4,3,3,0,0,0,4,3,0,1,0,0,1,3.0,1.5,60,2,1,3,4,0,0,3,0,0,0,0,1,1,1,0,1,2,4
120,1,6,1,2,2,2,2,2,4,3,3,0,1,1,4,3,1,1,0,0,1,4.5,1.5,75,2,1,3,4,0,0,3,0,0,1,0,1,1,0,1,1,3,4
121,1,6,2,2,2,2,2,3,4,2,4,0,1,1,4,3,0,1,0,0,0,4.5,1.5,70,2,2,2,1,2,0,3,2,3,1,2,1,1,0,1,1,2,1
