,Q43,Q44,Q44A,Q45A1,Q45A3,Q47,Q47B,Q47C,Q48,Q49
11986,0,3,0,2,2,2,1,2,1,1
11987,0,3,0,2,2,2,1,2,0,2
11988,0,3,0,2,2,1,1,2,1,1
11989,0,3,0,3,1,0,0,0,1,1
11990,2,3,0,3,2,0,0,0,1,1
11991,0,3,0,2,2,0,0,0,2,1
11992,1,3,0,3,3,2,1,3,2,2
11993,0,3,0,2,3,2,1,2,2,1
11994,0,3,0,2,1,2,1,3,0,2
11995,0,3,0,2,2,2,1,2,1,1
11996,2,1,3,3,2,0,0,0,0,1
11997,0,3,0,3,3,3,1,2,2,0
11998,2,3,0,3,2,0,0,0,0,1
11999,0,3,0,3,2,0,0,0,0,0
12000,0,1,1,2,3,2,1,3,0,0
12001,0,3,0,3,0,2,1,1,1,1
12002,0,3,0,2,1,0,0,0,0,0
12003,1,2,1,2,1,2,1,2,0,1
12004,1,3,0,2,3,2,1,3,0,1
12005,0,1,1,3,1,2,1,3,2,1
12006,1,2,2,2,3,2,1,2,0,1
12007,0,3,0,2,1,0,0,0,0,1
12008,1,2,2,2,1,2,1,3,0,1
12009,0,3,0,2,2,0,0,0,0,1
12010,2,3,0,3,0,3,1,2,2,0
12011,0,1,2,2,1,0,0,0,0,1
12012,0,3,0,3,1,2,1,2,0,1
12013,0,2,2,3,3,0,0,0,0,1
12014,2,3,0,2,3,2,1,2,0,1
12015,0,2,3,3,2,2,1,2,1,1
12016,0,3,0,3,2,0,0,0,1,1
12017,0,3,0,2,2,0,0,0,1,1
12018,2,3,0,3,3,2,1,3,1,1
12019,0,3,0,2,3,3,2,3,0,1
12020,0,3,0,3,2,2,1,2,1,0
12021,2,3,0,3,1,2,1,3,0,1
12022,2,3,0,3,2,2,1,2,2,1
12023,0,3,0,3,3,0,0,0,1,0
12024,0,1,3,3,3,2,1,2,1,0
12025,0,3,0,3,3,0,0,0,1,1
12026,0,2,2,3,3,2,1,2,0,0
12027,0,2,3,3,3,0,0,0,1,1
12028,0,2,3,3,3,2,1,3,0,1
12029,2,3,0,3,3,0,0,0,0,1
12030,2,3,0,3,3,2,1,3,0,0
12031,0,3,0,3,3,2,1,3,0,0
12032,2,3,0,3,3,2,1,2,1,1
12033,0,3,0,3,2,2,1,3,1,1
12034,0,2,2,2,3,2,1,3,2,1
12035,0,3,0,3,3,2,1,3,1,1
12036,0,3,0,2,3,2,1,3,1,1
12037,0,3,0,2,3,0,0,0,1,0
12038,0,2,2,3,1,2,1,3,2,1
12039,0,3,0,2,1,2,1,2,0,2
12040,0,3,0,2,3,2,1,3,1,1
12041,0,2,2,2,3,0,0,0,2,1
12042,2,3,0,3,3,2,1,3,1,1
12043,0,3,0,2,2,0,0,0,2,1
12044,0,2,3,2,3,2,1,3,0,1
12045,1,3,0,3,2,0,0,0,2,0
12046,0,2,3,3,2,2,1,3,0,1
12047,1,3,0,3,2,0,0,0,0,1
12048,2,3,0,3,3,2,1,2,1,2
12049,1,3,0,2,1,2,1,2,0,1
12050,0,2,3,3,2,2,1,3,0,1
12051,0,3,0,3,2,2,1,3,0,1
12052,0,3,0,2,1,3,2,2,0,1
12053,2,3,0,3,3,0,0,0,1,2
12054,1,2,3,3,2,2,1,2,0,1
12055,0,3,0,3,3,3,2,1,0,1
12056,1,3,0,3,3,2,1,2,0,2
12057,0,2,3,3,2,1,1,3,0,1
12058,0,3,0,3,2,2,1,2,0,1
12059,0,3,0,3,2,2,1,2,0,1
12060,1,2,3,3,3,0,0,0,0,1
12061,1,2,3,3,2,2,1,3,0,2
12062,1,3,0,3,2,0,0,0,0,1
12063,1,3,0,3,3,0,0,0,0,1
12064,1,2,3,3,2,2,1,3,0,1
12065,0,2,3,3,2,2,1,3,0,1
12066,1,3,0,3,1,2,1,2,0,1
12067,1,3,0,3,2,2,2,1,0,1
12068,1,3,0,3,2,2,1,2,0,1
12069,1,3,0,3,2,0,0,0,0,1
12070,1,3,0,3,2,0,0,0,1,1
12071,2,3,0,3,3,2,1,3,1,2
12072,1,3,0,3,2,2,1,1,0,1
12073,0,3,0,1,2,2,1,2,0,0
12074,0,3,0,1,2,2,1,3,1,0
12075,0,3,0,1,2,2,1,2,0,0
12076,0,3,0,1,2,2,1,3,1,0
12077,0,3,0,2,2,2,1,2,0,0
12078,0,3,0,2,3,0,0,0,0,0
12079,0,3,0,2,3,0,0,0,0,1
12080,0,3,0,2,3,1,1,2,0,1
12081,2,3,0,2,0,3,2,2,1,2
12082,0,3,0,1,2,2,1,3,0,0
12083,0,3,0,1,2,0,0,0,0,0
12084,0,3,0,1,2,2,1,2,0,0
12085,0,3,0,1,2,0,0,0,1,0
12086,0,3,0,1,2,2,1,2,1,1
12087,0,3,0,1,2,0,0,0,0,0
12088,0,3,0,1,2,1,1,3,0,0
12089,0,3,0,3,0,0,0,0,1,2
12090,0,3,0,1,2,1,1,2,1,0
12091,0,3,0,2,0,3,1,1,1,1
12092,0,3,0,1,0,2,1,3,1,1
12093,0,3,0,1,3,0,0,0,1,2
12094,0,3,0,1,2,0,0,0,0,0
12095,0,3,0,1,2,2,1,2,0,0
12096,2,3,0,2,2,0,0,0,0,1
12097,2,3,0,1,2,0,0,0,0,0
12098,0,3,0,1,3,1,1,2,1,1
12099,2,3,0,1,3,0,0,0,1,0
12100,0,3,0,1,2,2,1,2,0,0
12101,2,3,0,1,3,0,0,0,0,0
